date,year,month,month_name,day,day_of_week,day_of_week_num,week_of_year,is_weekend,is_holiday,weather,product,actual_demand,production,sales,waste,stockout,price,cost_per_unit,revenue,production_cost,waste_cost,profit,service_level,shelf_life_days
2023-01-01,2023,1,January,1,Sunday,6,52,True,True,Sunny,Croissant,53,70,53,17,0,3.5,1.2,185.5,84.0,20.4,101.5,100.0,1
2023-01-01,2023,1,January,1,Sunday,6,52,True,True,Sunny,Baguette,85,90,85,5,0,2.8,0.9,238.0,81.0,4.5,157.0,100.0,1
2023-01-01,2023,1,January,1,Sunday,6,52,True,True,Sunny,Sourdough,47,50,47,3,0,5.5,2.0,258.5,100.0,6.0,158.5,100.0,3
2023-01-01,2023,1,January,1,Sunday,6,52,True,True,Sunny,Sandwich,58,56,56,0,2,6.5,2.8,364.0,156.8,0.0,207.2,96.55,1
2023-01-01,2023,1,January,1,Sunday,6,52,True,True,Sunny,Donut,66,80,66,14,0,2.5,0.8,165.0,64.0,11.2,101.0,100.0,2
2023-01-01,2023,1,January,1,Sunday,6,52,True,True,Sunny,Muffin,50,60,50,10,0,3.2,1.1,160.0,66.0,11.0,94.0,100.0,2
2023-01-01,2023,1,January,1,Sunday,6,52,True,True,Sunny,Cinnamon_Roll,36,44,36,8,0,4.0,1.5,144.0,66.0,12.0,78.0,100.0,2
2023-01-02,2023,1,January,2,Monday,0,1,False,False,Cloudy,Croissant,21,26,21,5,0,3.5,1.2,73.5,31.2,6.0,42.3,100.0,1
2023-01-02,2023,1,January,2,Monday,0,1,False,False,Cloudy,Baguette,24,34,24,10,0,2.8,0.9,67.2,30.6,9.0,36.6,100.0,1
2023-01-02,2023,1,January,2,Monday,0,1,False,False,Cloudy,Sourdough,16,18,16,2,0,5.5,2.0,88.0,36.0,4.0,52.0,100.0,3
2023-01-02,2023,1,January,2,Monday,0,1,False,False,Cloudy,Sandwich,17,21,17,4,0,6.5,2.8,110.5,58.8,11.2,51.7,100.0,1
2023-01-02,2023,1,January,2,Monday,0,1,False,False,Cloudy,Donut,30,30,30,0,0,2.5,0.8,75.0,24.0,0.0,51.0,100.0,2
2023-01-02,2023,1,January,2,Monday,0,1,False,False,Cloudy,Muffin,18,22,18,4,0,3.2,1.1,57.6,24.2,4.4,33.4,100.0,2
2023-01-02,2023,1,January,2,Monday,0,1,False,False,Cloudy,Cinnamon_Roll,12,16,12,4,0,4.0,1.5,48.0,24.0,6.0,24.0,100.0,2
2023-01-03,2023,1,January,3,Tuesday,1,1,False,False,Sunny,Croissant,26,30,26,4,0,3.5,1.2,91.0,36.0,4.8,55.0,100.0,1
2023-01-03,2023,1,January,3,Tuesday,1,1,False,False,Sunny,Baguette,41,39,39,0,2,2.8,0.9,109.2,35.1,0.0,74.1,95.12,1
2023-01-03,2023,1,January,3,Tuesday,1,1,False,False,Sunny,Sourdough,29,22,22,0,7,5.5,2.0,121.0,44.0,0.0,77.0,75.86,3
2023-01-03,2023,1,January,3,Tuesday,1,1,False,False,Sunny,Sandwich,24,24,24,0,0,6.5,2.8,156.0,67.2,0.0,88.8,100.0,1
2023-01-03,2023,1,January,3,Tuesday,1,1,False,False,Sunny,Donut,34,35,34,1,0,2.5,0.8,85.0,28.0,0.8,57.0,100.0,2
2023-01-03,2023,1,January,3,Tuesday,1,1,False,False,Sunny,Muffin,23,26,23,3,0,3.2,1.1,73.6,28.6,3.3,45.0,100.0,2
2023-01-03,2023,1,January,3,Tuesday,1,1,False,False,Sunny,Cinnamon_Roll,16,19,16,3,0,4.0,1.5,64.0,28.5,4.5,35.5,100.0,2
2023-01-04,2023,1,January,4,Wednesday,2,1,False,False,Sunny,Croissant,35,32,32,0,3,3.5,1.2,112.0,38.4,0.0,73.6,91.43,1
2023-01-04,2023,1,January,4,Wednesday,2,1,False,False,Sunny,Baguette,36,41,36,5,0,2.8,0.9,100.8,36.9,4.5,63.9,100.0,1
2023-01-04,2023,1,January,4,Wednesday,2,1,False,False,Sunny,Sourdough,28,23,23,0,5,5.5,2.0,126.5,46.0,0.0,80.5,82.14,3
2023-01-04,2023,1,January,4,Wednesday,2,1,False,False,Sunny,Sandwich,24,26,24,2,0,6.5,2.8,156.0,72.8,5.6,83.2,100.0,1
2023-01-04,2023,1,January,4,Wednesday,2,1,False,False,Sunny,Donut,29,37,29,8,0,2.5,0.8,72.5,29.6,6.4,42.9,100.0,2
2023-01-04,2023,1,January,4,Wednesday,2,1,False,False,Sunny,Muffin,29,27,27,0,2,3.2,1.1,86.4,29.7,0.0,56.7,93.1,2
2023-01-04,2023,1,January,4,Wednesday,2,1,False,False,Sunny,Cinnamon_Roll,15,20,15,5,0,4.0,1.5,60.0,30.0,7.5,30.0,100.0,2
2023-01-05,2023,1,January,5,Thursday,3,1,False,False,Sunny,Croissant,46,34,34,0,12,3.5,1.2,119.0,40.8,0.0,78.2,73.91,1
2023-01-05,2023,1,January,5,Thursday,3,1,False,False,Sunny,Baguette,49,44,44,0,5,2.8,0.9,123.2,39.6,0.0,83.6,89.8,1
2023-01-05,2023,1,January,5,Thursday,3,1,False,False,Sunny,Sourdough,24,24,24,0,0,5.5,2.0,132.0,48.0,0.0,84.0,100.0,3
2023-01-05,2023,1,January,5,Thursday,3,1,False,False,Sunny,Sandwich,29,27,27,0,2,6.5,2.8,175.5,75.6,0.0,99.9,93.1,1
2023-01-05,2023,1,January,5,Thursday,3,1,False,False,Sunny,Donut,31,39,31,8,0,2.5,0.8,77.5,31.2,6.4,46.3,100.0,2
2023-01-05,2023,1,January,5,Thursday,3,1,False,False,Sunny,Muffin,21,29,21,8,0,3.2,1.1,67.2,31.9,8.8,35.3,100.0,2
2023-01-05,2023,1,January,5,Thursday,3,1,False,False,Sunny,Cinnamon_Roll,22,21,21,0,1,4.0,1.5,84.0,31.5,0.0,52.5,95.45,2
2023-01-06,2023,1,January,6,Friday,4,1,False,False,Sunny,Croissant,34,39,34,5,0,3.5,1.2,119.0,46.8,6.0,72.2,100.0,1
2023-01-06,2023,1,January,6,Friday,4,1,False,False,Sunny,Baguette,50,50,50,0,0,2.8,0.9,140.0,45.0,0.0,95.0,100.0,1
2023-01-06,2023,1,January,6,Friday,4,1,False,False,Sunny,Sourdough,19,28,19,9,0,5.5,2.0,104.5,56.0,18.0,48.5,100.0,3
